title,year,episodes,country,viewer_score,rank
A Murderous Affair in Horizon Tower,2020,16,Chinese,8.5,266
Legally Romance,2022,33,Chinese,8.5,267
The Love You Give Me,2023,28,Chinese,8.5,268
I Feel You Linger in the Air,2023,12,Thai,8.5,269
Itaewon Class,2020,16,Korean,8.5,270
Thirty But Seventeen,2018,32,Korean,8.5,271
Go Go Squid!,2019,41,Chinese,8.5,272
Squid Game,2021,9,Korean,8.5,273
Two Weeks,2013,16,Korean,8.5,274
A Dream of Splendor,2022,40,Chinese,8.5,275
Juhan Shuttai!,2016,10,Japanese,8.5,276
Falling Into You,2022,26,Chinese,8.5,277
Autumn's Concerto,2009,21,Taiwanese,8.5,278
Kyo Kara Ore wa!!,2018,10,Japanese,8.5,279
Goodbye My Princess: Director's Cut,2019,55,Chinese,8.5,280
"It's Okay, That's Friendship",2021,1,Korean,8.5,281
The Princess's Man,2011,24,Korean,8.4,282
Voice Season 2,2018,12,Korean,8.4,283
Forever and Ever,2021,30,Chinese,8.4,284
Liar Game 2,2009,9,Japanese,8.4,285
Recipe for Farewell,2022,12,Korean,8.4,286
Doom at Your Service,2021,16,Korean,8.4,287
F4 Thailand: Boys Over Flowers,2021,16,Thai,8.4,288
Lost,2021,16,Korean,8.4,289
Happy Birthday,2018,13,Thai,8.4,290
Because This Is My First Life,2017,16,Korean,8.4,291
Dali and the Cocky Prince,2021,16,Korean,8.4,292
Seasons of Blossom,2022,16,Korean,8.4,293
Koi wa Tsuzuku yo Doko Made mo,2020,10,Japanese,8.4,294
The Confidence Man JP,2018,10,Japanese,8.4,295
Kleun Cheewit,2017,15,Thai,8.4,296
Lost Romance,2020,20,Taiwanese,8.4,297
Project S: Side by Side,2017,8,Thai,8.4,298
Crash Course in Romance,2023,16,Korean,8.4,299
Circle,2017,12,Korean,8.4,300
To the Moon and Back,2023,21,Thai,8.4,301
Immortal Samsara: Part 2,2022,21,Chinese,8.4,302
Bad Buddy,2021,12,Thai,8.4,303
"Work Later, Drink Now",2021,12,Korean,8.4,304
See You in My 19th Life,2023,12,Korean,8.4,305
Angel's Last Mission: Love,2019,32,Korean,8.4,306
Skate Into Love,2020,40,Chinese,8.4,307
Sweet Teeth,2021,22,Chinese,8.4,308
Put Your Head on My Shoulder,2019,24,Chinese,8.4,309
The Rebel Princess,2021,68,Chinese,8.4,310
Boku Dake ga Inai Machi,2017,12,Japanese,8.4,311
Fake It Till You Make It,2023,14,Chinese,8.4,312
When the Camellia Blooms,2019,40,Korean,8.4,313
Kono Sekai no Katasumi ni,2018,9,Japanese,8.4,314
dele,2018,8,Japanese,8.4,315
Pachinko,2022,8,Korean,8.4,316
Moon Embracing the Sun,2012,20,Korean,8.4,317
Queen In Hyun's Man,2012,16,Korean,8.4,318
Yumi's Cells,2021,14,Korean,8.4,319
Crush,2021,24,Chinese,8.4,320
Medical Examiner Dr. Qin,2016,20,Chinese,8.4,321
Unforgettable Love,2021,24,Chinese,8.4,322
Snowdrop,2021,16,Korean,8.4,323
If You Wish Upon Me,2022,16,Korean,8.4,324
Under the Power,2019,55,Chinese,8.4,325
Fall in Love,2021,36,Chinese,8.4,326
The World of the Married,2020,16,Korean,8.4,327
Hi Venus,2022,24,Chinese,8.4,328
Love All Play,2022,16,Korean,8.4,329
The Rise of Phoenixes,2018,70,Chinese,8.4,330
My Unfamiliar Family,2020,16,Korean,8.4,331
Extracurricular,2020,10,Korean,8.4,332
The Blue Whisper: Part 1,2022,22,Chinese,8.4,333
Ever Night,2018,60,Chinese,8.4,334
Immortal Samsara: Part 1,2022,38,Chinese,8.4,335
A Time Called You,2023,12,Korean,8.4,336
The Crowned Clown,2019,16,Korean,8.4,337
Love Scenery,2021,31,Chinese,8.4,338
Kaizoku Sentai Gokaiger,2011,51,Japanese,8.4,339
Hello Monster,2015,16,Korean,8.4,340
Train,2020,12,Korean,8.4,341
Memorist,2020,16,Korean,8.4,342
Like in the Movies,2020,8,Filipino,8.4,343
Konto ga Hajimaru,2021,10,Japanese,8.4,344
Scarlet Heart,2011,35,Chinese,8.4,345
I'm Not a Robot,2017,32,Korean,8.4,346
Be Melodramatic,2019,16,Korean,8.4,347
Ruyi's Royal Love in the Palace,2018,87,Chinese,8.4,348
Duel,2017,16,Korean,8.4,349
The Mysterious Class,2021,8,Korean,8.4,350
When We Were Young,2018,24,Chinese,8.4,351
"From Now On, Showtime!",2022,16,Korean,8.4,352
Douluo Continent,2021,40,Chinese,8.4,353
My Calorie Boy,2022,30,Chinese,8.4,354
Nanba MG5,2022,10,Japanese,8.4,355
Love You Seven Times,2023,38,Chinese,8.4,356
Asa ga Kita,2015,156,Japanese,8.4,357
My Country: The New Age,2019,16,Korean,8.4,358
Pinocchio,2014,20,Korean,8.4,359
Partners for Justice,2018,32,Korean,8.4,360
Extraordinary You,2019,32,Korean,8.4,361
Mad Dog,2017,16,Korean,8.4,362
99.9: Keiji Senmon Bengoshi Season 2,2018,9,Japanese,8.4,363
A Familiar Stranger,2022,18,Chinese,8.4,364
Amanza,2020,10,Korean,8.4,365
Military Prosecutor Doberman,2022,16,Korean,8.4,366
Maiden Holmes,2020,32,Chinese,8.4,367
Soundtrack #1,2022,4,Korean,8.4,368
Secret,2013,16,Korean,8.4,369
JIN Season 2,2011,11,Japanese,8.4,370
The Uncanny Counter Season 2: Counter Punch,2023,12,Korean,8.4,371
Love and Destiny,2019,60,Chinese,8.4,372
A River Runs Through It,2021,36,Chinese,8.4,373
N no Tame ni,2014,10,Japanese,8.4,374
Love Me If You Dare,2015,24,Chinese,8.4,375
Birthcare Center,2020,8,Korean,8.4,376
Sell Your Haunted House,2021,16,Korean,8.4,377
Tale of the Nine-Tailed,2020,16,Korean,8.4,378
Justice in the Dark,2023,8,Chinese,8.4,379
Side Story of Fox Volant,2022,40,Chinese,8.4,380
Age of Youth Season 2,2017,14,Korean,8.4,381
Legend of Fu Yao,2018,66,Chinese,8.4,382
The Princess Wei Young,2016,54,Chinese,8.4,383
Full House,2014,20,Thai,8.3,384
Summer Strike,2022,12,Korean,8.3,385
Exclusive Fairytale,2023,24,Chinese,8.3,386
Good Doctor,2018,10,Japanese,8.3,387
Her Private Life,2019,16,Korean,8.3,388
Reunion: The Sound of the Providence,2020,32,Chinese,8.3,389
Princess Pearl,1998,24,Chinese,8.3,390
The Good Detective,2020,16,Korean,8.3,391
Doctor X Season 5,2017,10,Japanese,8.3,392
Lie After Lie,2020,16,Korean,8.3,393
Daughters,2020,24,Thai,8.3,394
Gaus Electronics,2022,12,Korean,8.3,395
Jumong,2006,81,Korean,8.3,396
My Roommate Is a Detective,2020,36,Chinese,8.3,397
Kimi to Nara Koi wo Shite Mite mo,2023,5,Japanese,8.3,398
The Legend of the Blue Sea,2016,20,Korean,8.3,399
Sh**ting Stars,2022,16,Korean,8.3,400
Doctor Prisoner,2019,32,Korean,8.3,401
Voice Season 3: City of Accomplices,2019,16,Korean,8.3,402
My Roommate Is a Gumiho,2021,16,Korean,8.3,403
The Veil,2021,12,Korean,8.3,404
Ugly Alert,2013,133,Korean,8.3,405
Search: WWW,2019,16,Korean,8.3,406
The Forbidden Flower,2023,24,Chinese,8.3,407
Player,2018,14,Korean,8.3,408
The Warp Effect,2022,12,Thai,8.3,409
Scent of Time,2023,30,Chinese,8.3,410
Come and Hug Me,2018,32,Korean,8.3,411
I Don't Want to Be Friends With You,2020,24,Chinese,8.3,412
Yumi's Cells Season 2,2022,14,Korean,8.3,413
Nine: Nine Times Time Travel,2013,20,Korean,8.3,414
Nijiiro Karute,2021,9,Japanese,8.3,415
Bitter Blood,2014,11,Japanese,8.3,416
A Little Reunion,2019,49,Chinese,8.3,417
Good Doctor,2013,20,Korean,8.3,418
Moonlight,2021,36,Chinese,8.3,419
Moonlight Chicken,2023,8,Thai,8.3,420
Bokura wa Kiseki de Dekite Iru,2018,10,Japanese,8.3,421
Pride,2004,11,Japanese,8.3,422
P.S. I Hate You,2022,18,Thai,8.3,423
Saka no Tochu no Ie,2019,6,Japanese,8.3,424
God's Quiz: Reboot,2018,16,Korean,8.3,425
Be Reborn,2022,26,Chinese,8.3,426
Three Kingdoms,2010,95,Chinese,8.3,427
Don't Disturb My Study,2021,24,Chinese,8.3,428
Arthdal Chronicles: The Sword of Aramun,2023,12,Korean,8.3,429
Cold Case: Shinjitsu no Tobira,2016,10,Japanese,8.3,430
Vampire Prosecutor 2,2012,11,Korean,8.3,431
Team Bulldog: Off-duty Investigation,2020,12,Korean,8.3,432
"At a Distance, Spring Is Green",2021,12,Korean,8.3,433
A League of Nobleman,2023,29,Chinese,8.3,434
Divorce Attorney Shin,2023,12,Korean,8.3,435
Class of Lies,2019,16,Korean,8.3,436
The Forbidden Marriage,2022,12,Korean,8.3,437
Koi Desu: Yankee-kun to Hakujou Garu,2021,10,Japanese,8.3,438
100 Days My Prince,2018,16,Korean,8.3,439
King the Land,2023,16,Korean,8.3,440
God's Gift: 14 Days,2014,16,Korean,8.3,441
He Is Psychometric,2019,16,Korean,8.3,442
Confession,2019,16,Korean,8.3,443
Psychopath Diary,2019,16,Korean,8.3,444
City Hunter,2011,20,Korean,8.3,445
Kounodori,2015,10,Japanese,8.3,446
True Beauty,2020,16,Korean,8.3,447
Tengoku to Jigoku: Psychona Futari,2021,10,Japanese,8.3,448
Kamen Rider Build,2017,49,Japanese,8.3,449
The Beauty Inside,2018,16,Korean,8.3,450
Hit the Spot,2022,8,Korean,8.3,451
The Youth Memories,2023,38,Chinese,8.3,452
JIN,2009,11,Japanese,8.3,453
Perfect and Casual,2020,24,Chinese,8.3,454
Call It Love,2023,16,Korean,8.3,455
We Best Love: No. 1 For You,2021,6,Taiwanese,8.3,456
Bloody Monday,2008,11,Japanese,8.3,457
Nobunaga Concerto,2014,11,Japanese,8.3,458
High&Low: The Story of S.W.O.R.D.,2015,10,Japanese,8.3,459
Celebrity,2023,12,Korean,8.3,460
Delicious Romance,2021,20,Chinese,8.3,461
She Makes My Heart Flutter,2022,5,Korean,8.3,462
The Oath of Love,2022,32,Chinese,8.3,463
Young Blood,2019,42,Chinese,8.3,464
The Tale of Nokdu,2019,32,Korean,8.3,465
Jun Jiu Ling,2021,40,Chinese,8.3,466
My Girlfriend Is an Alien,2019,28,Chinese,8.3,467
Who Are You,2020,18,Thai,8.3,468
My Girlfriend Is an Alien Season 2,2022,30,Chinese,8.3,469
A Love So Beautiful,2017,23,Chinese,8.3,470
SPEC: Birth,2010,10,Japanese,8.3,471
Love O2O,2016,30,Chinese,8.3,472
One Spring Night,2019,32,Korean,8.3,473
Kieta Hatsukoi,2021,10,Japanese,8.3,474
The Nokdu Flower,2019,48,Korean,8.3,475
My Fated Boy,2021,29,Chinese,8.3,476
Voice Season 4: Judgment Hour,2021,14,Korean,8.3,477
Gu Family Book,2013,24,Korean,8.3,478
The Gifted Graduation,2020,13,Thai,8.3,479
Influence,2021,5,Japanese,8.3,480
Hua Jai Sila,2019,27,Thai,8.3,481
Legal High 2,2013,10,Japanese,8.3,482
With You,2020,20,Chinese,8.3,483
The Hymn of Death,2018,6,Korean,8.3,484
Iljimae,2008,20,Korean,8.3,485
Strange Tales of Tang Dynasty,2022,36,Chinese,8.3,486
Five Enough,2016,54,Korean,8.3,487
Doctor X Season 3,2014,11,Japanese,8.3,488
Rookie Cops,2022,16,Korean,8.3,489
"Ore no Sukato, Doko Itta?",2019,10,Japanese,8.3,490
Memory,2016,16,Korean,8.3,491
Bloody Monday Season 2,2010,9,Japanese,8.3,492
Tree With Deep Roots,2011,24,Korean,8.3,493
Nothing But You,2023,38,Chinese,8.3,494
Kotaro wa Hitorigurashi,2021,10,Japanese,8.3,495
Liar Game,2007,11,Japanese,8.3,496
Maou,2008,11,Japanese,8.3,497
99.9: Keiji Senmon Bengoshi,2016,10,Japanese,8.3,498
Ancient Detective,2020,24,Chinese,8.3,499
Gannibal,2022,7,Japanese,8.3,500
