title,genres,network,watchers
Eulachacha Waikiki,"Genres: Comedy, Romance, Life, Drama",Original Network: jTBC,66054
Shining for One Thing,"Genres: Mystery, Romance, Youth, Fantasy",Original Network: iQiyi,8771
Empress Ki,"Genres: Historical, Romance, Melodrama, Political",Original Network: MBC,41160
The Gifted,"Genres: Thriller, Mystery, Psychological, Supernatural",Original Network: GMM One,24721
Good Manager,"Genres: Business, Comedy, Crime, Drama",Original Network: KBS2,37732
Beautiful World,"Genres: Thriller, Mystery, Life, Melodrama","Original Network: jTBC, Viki",10705
Big Mouth,"Genres: Thriller, Mystery, Law, Drama","Original Network: Hulu, MBC",54973
Money Heist: Korea - Joint Economic Area - Part 2,"Genres: Action, Thriller, Mystery, Crime",Original Network: Netflix,13510
The Bridal Mask,"Genres: Action, Historical, Romance, Political",Original Network: KBS2,28828
Stranger Season 2,"Genres: Thriller, Mystery, Law, Drama","Original Network: Netflix, tvN",19666
Cruel City,"Genres: Action, Thriller, Romance, Crime",Original Network: jTBC,24768
Ancient Love Poetry,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Tencent Video,18803
Forever Love,"Genres: Comedy, Romance, Youth, Drama",Original Network: Tencent Video,19268
My Father Is Strange,"Genres: Comedy, Romance, Drama",Original Network: KBS2,30111
Duty After School: Part 1,"Genres: Action, Thriller, Drama, Sci-Fi",Original Network: TVING,21424
Avengers Social Club,"Genres: Comedy, Life, Drama",Original Network: tvN,15636
Nobody Knows,"Genres: Thriller, Mystery, Drama, Melodrama",Original Network: SBS,18731
In Family We Trust,"Genres: Thriller, Mystery, Drama",Original Network: GMM One,3079
Love to Hate You,"Genres: Comedy, Law, Romance",Original Network: Netflix,42187
MIU 404,"Genres: Mystery, Comedy",Original Network: TBS,4629
Designated Survivor: 60 Days,"Genres: Thriller, Mystery, Drama, Political","Original Network: Netflix, tvN",15231
Reborn Rich,"Genres: Business, Drama, Fantasy, Political","Original Network: jTBC, ViuTV",40047
Silent,"Genres: Romance, Life, Melodrama",Original Network: Fuji TV,14461
Enigma,"Genres: Mystery, Horror, Youth, Supernatural","Original Network: Amazon Prime, GMM 25",9852
Age of Youth,"Genres: Comedy, Romance, Life, Drama",Original Network: jTBC,61626
Boku no Ita Jikan,"Genres: Romance, Life, Drama, Melodrama",Original Network: Fuji TV,15604
Our Secret,"Genres: Romance, Life, Youth","Original Network: iQiyi, Mango TV",24608
Wonderland of Love,"Genres: Historical, Romance, Drama, Political",Original Network: Tencent Video,8852
Bad and Crazy,"Genres: Action, Thriller, Mystery, Comedy","Original Network: iQiyi, tvN",52555
Legend of Concubine Zhen Huan,"Genres: Historical, Drama, Melodrama, Political",Original Network: BTV,5717
Just Between Lovers,"Genres: Psychological, Romance, Melodrama",Original Network: jTBC,81850
My Love from the Star,"Genres: Comedy, Romance, Drama, Supernatural",Original Network: SBS,146066
Reunion: The Sound of the Providence Season 2,"Genres: Adventure, Thriller, Mystery, Fantasy",Original Network: iQiyi,3397
Arthdal Chronicles Part 1: The Children of Prophecy,"Genres: Historical, Romance, Fantasy, Political","Original Network: Netflix, tvN",35485
The Longest Day in Chang'an,"Genres: Action, Thriller, Historical, Political",Original Network: Youku,5254
Not Me,"Genres: Action, Thriller, Mystery, Romance",Original Network: GMM 25,46319
365: Repeat the Year,"Genres: Thriller, Mystery, Drama, Fantasy",Original Network: MBC,25568
Rebel: Thief Who Stole the People,"Genres: Action, Thriller, Historical, Romance",Original Network: MBC,17082
A Tale of Thousand Stars,"Genres: Romance, Drama",Original Network: GMM 25,46811
Little Women,"Genres: Action, Thriller, Mystery, Drama","Original Network: Netflix, tvN",47546
Revenge of Others,"Genres: Action, Thriller, Mystery, Drama","Original Network: Disney+, Hulu",35741
Brush Up Life,"Genres: Comedy, Life, Fantasy",Original Network: NTV,2502
The King’s Avatar,"Genres: Action, Youth, Sports",Original Network: Tencent Video,33049
The Long Night,"Genres: Thriller, Mystery, Drama",Original Network: iQiyi,3770
My Little Happiness,"Genres: Comedy, Law, Romance, Drama",Original Network: Tencent Video,32861
Mystic Pop-Up Bar,"Genres: Mystery, Comedy, Drama, Fantasy","Original Network: jTBC, Netflix",50776
Queen Seon Deok,"Genres: Historical, Romance, Drama, Political",Original Network: MBC,12506
Bad Guys,"Genres: Action, Thriller, Psychological, Crime",Original Network: OCN,33777
The Master's Sun,"Genres: Horror, Comedy, Romance, Supernatural",Original Network: SBS,83092
What's Wrong With Secratary Kim,"Genres: Business, Comedy, Romance",Original Network: tvN,176297
Blind,"Genres: Thriller, Mystery, Drama","Original Network: OCN, tvN",21179
Tonbi,"Genres: Life, Drama",Original Network: TBS,5926
All of Us Are Dead,"Genres: Action, Thriller, Horror, Sci-Fi",Original Network: Netflix,75047
Remembrance of Things Past,"Genres: Romance, Life, Drama","Original Network: Hunan TV, Mango TV",4291
The Prince of Tennis,"Genres: Youth, Drama, Sports",Original Network: Hunan TV,10347
Save Me,"Genres: Action, Thriller, Mystery, Drama",Original Network: OCN,63795
One Ordinary Day,"Genres: Thriller, Mystery, Law, Crime",Original Network: COUPANG TV,24245
W,"Genres: Thriller, Comedy, Romance, Fantasy",Original Network: MBC,172876
My School President,"Genres: Music, Comedy, Romance, Youth",Original Network: GMM 25,30292
"Soredemo, Ikite Yuku","Genres: Psychological, Drama",Original Network: Fuji TV,5619
Stay with Me,"Genres: Life, Youth",Original Network: Youku,15354
The Day of Becoming You,"Genres: Comedy, Romance, Supernatural",Original Network: iQiyi,20027
Vagabond,"Genres: Action, Thriller, Mystery, Crime","Original Network: Netflix, SBS",80456
Voice,"Genres: Thriller, Mystery, Psychological, Supernatural",Original Network: OCN,37910
Hanzawa Naoki Season 2,"Genres: Thriller, Business, Drama",Original Network: TBS,1390
"Hi Bye, Mama!","Genres: Drama, Family, Melodrama, Supernatural","Original Network: Netflix, tvN",40348
Kairos,"Genres: Action, Thriller, Drama, Sci-Fi",Original Network: MBC,18616
Ouroboros,"Genres: Action, Thriller, Mystery, Crime",Original Network: TBS,16035
SKZ Flix,"Genres: Drama, Sci-Fi",na,855
To Fly With You,"Genres: Comedy, Romance, Youth, Sports","Original Network: Hunan TV, Tencent Video, ViuTV, Youku",11737
I Hear Your Voice,"Genres: Mystery, Law, Romance, Supernatural",Original Network: SBS,89187
Girl From Nowhere,"Genres: Mystery, Psychological, Drama, Supernatural",Original Network: GMM 25,35289
The World Between Us,"Genres: Law, Crime, Life, Drama",Original Network: PTS,2676
Fight for My Way,"Genres: Business, Comedy, Romance, Sports",Original Network: KBS2,124173
Code Blue Season 3,"Genres: Drama, Medical",Original Network: Fuji TV,3594
Doctor John,"Genres: Mystery, Romance, Life, Medical",Original Network: SBS,37930
Arsenal Military Academy,"Genres: Action, Military, Historical, Romance",Original Network: iQiyi,27007
Killer And Healer,"Genres: Thriller, Historical, Mystery, Crime",Original Network: Mango TV,11359
Dong Yi,"Genres: Adventure, Historical, Mystery, Romance",Original Network: MBC,14346
One Dollar Lawyer,"Genres: Comedy, Law, Drama",Original Network: SBS,17225
Kamen Rider W,"Genres: Action, Mystery, Tokusatsu, Sci-Fi",Original Network: TV Asahi,4022
The Sleuth of Ming Dynasty,"Genres: Historical, Mystery, Drama",Original Network: iQiyi,8787
The Bond,"Genres: Life, Drama",Original Network: Tencent Video,4897
Bad Genius,"Genres: Thriller, Youth, Drama",Original Network: GMM One,4549
Back From the Brink,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Youku,16372
Destined,"Genres: Historical, Business, Comedy, Romance","Original Network: CCTV, iQiyi",10817
Le Coup de Foudre,"Genres: Comedy, Romance, Life, Youth","Original Network: Tencent Video, Youku",25692
Guardian,"Genres: Thriller, Mystery, Fantasy",Original Network: Youku,24743
Reply 1997,"Genres: Comedy, Romance, Life",Original Network: tvN,76448
The Blue Whisper: Part 2,"Genres: Romance, Wuxia, Fantasy",Original Network: Youku,9574
Time and Him Are Just Right,"Genres: Romance, Youth",Original Network: Tencent Video,11266
Mad for Each Other,"Genres: Comedy, Romance, Drama","Original Network: Daum Kakao TV, Netflix",32559
Love Is Sweet,"Genres: Business, Comedy, Romance",Original Network: iQiyi,40571
The Imperial Coroner,"Genres: Historical, Mystery, Romance, Medical",Original Network: Tencent Video,11107
The First Responders Season 2,"Genres: Action, Thriller, Mystery, Drama","Original Network: ENA, SBS, SBS Plus",7916
A Murderous Affair in Horizon Tower,"Genres: Thriller, Mystery, Drama",Original Network: Tencent Video,3995
Legally Romance,"Genres: Comedy, Law, Romance, Fantasy",Original Network: Tencent Video,11819
The Love You Give Me,"Genres: Comedy, Romance, Drama",Original Network: Tencent Video,22657
I Feel You Linger in the Air,"Genres: Historical, Romance, Drama, Fantasy","Original Network: GMM One, LINE TV, Youku",12610
Itaewon Class,"Genres: Business, Romance, Life, Drama","Original Network: jTBC, Netflix",127736
Thirty But Seventeen,"Genres: Music, Mystery, Comedy, Romance",Original Network: SBS,69384
Go Go Squid!,"Genres: Comedy, Romance, Youth, Sports","Original Network: Dragon TV, iQiyi, ZJTV",50454
Squid Game,"Genres: Action, Thriller, Mystery, Drama",Original Network: Netflix,122555
Two Weeks,"Genres: Action, Thriller, Mystery, Drama",Original Network: MBC,23666
A Dream of Splendor,"Genres: Historical, Romance",Original Network: Tencent Video,11770
Juhan Shuttai!,"Genres: Business, Comedy, Life, Drama",Original Network: TBS,4336
Falling Into You,"Genres: Romance, Youth, Drama, Sports",Original Network: Youku,8755
Autumn's Concerto,"Genres: Romance, Drama",Original Network: TTV,24063
Kyo Kara Ore wa!!,"Genres: Action, Comedy, Youth",Original Network: NTV,5095
Goodbye My Princess: Director's Cut,"Genres: Historical, Romance, Drama, Political",na,2295
"It's Okay, That's Friendship","Genres: Comedy, Life",na,1653
The Princess's Man,"Genres: Action, Historical, Romance, Political",Original Network: KBS2,21321
Voice Season 2,"Genres: Thriller, Mystery, Psychological, Supernatural",Original Network: OCN,14069
Forever and Ever,"Genres: Romance, Drama","Original Network: iQiyi, Tencent Video",17560
Liar Game 2,"Genres: Thriller, Psychological, Drama",Original Network: Fuji TV,12052
Recipe for Farewell,"Genres: Food, Life, Drama",na,3084
Doom at Your Service,"Genres: Comedy, Romance, Drama, Fantasy","Original Network: tvN, ViuTV",89551
F4 Thailand: Boys Over Flowers,"Genres: Comedy, Romance, Youth, Drama",Original Network: GMM 25,37073
Lost,"Genres: Life, Drama, Melodrama","Original Network: iQiyi, jTBC",13122
Happy Birthday,"Genres: Romance, Drama, Fantasy, Supernatural",Original Network: GMM 25,4583
Because This Is My First Life,"Genres: Comedy, Romance, Life, Drama",Original Network: tvN,104966
Dali and the Cocky Prince,"Genres: Comedy, Romance, Drama",Original Network: KBS2,43173
Seasons of Blossom,"Genres: Romance, Youth, Drama",na,12578
Koi wa Tsuzuku yo Doko Made mo,"Genres: Comedy, Romance, Drama, Medical",Original Network: TBS,30898
The Confidence Man JP,"Genres: Action, Comedy, Crime",Original Network: Fuji TV,2611
Kleun Cheewit,"Genres: Mystery, Romance, Drama, Melodrama",Original Network: Channel 3,13137
Lost Romance,"Genres: Mystery, Comedy, Romance, Fantasy",Original Network: SET TV,16409
Project S: Side by Side,"Genres: Youth, Sports, Melodrama",Original Network: GMM 25,4133
Crash Course in Romance,"Genres: Thriller, Mystery, Comedy, Romance","Original Network: Netflix, tvN",45259
Circle,"Genres: Thriller, Mystery, Sci-Fi",Original Network: tvN,28462
To the Moon and Back,"Genres: Romance, Life",Original Network: Channel 3,2344
Immortal Samsara: Part 2,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Youku,7688
Bad Buddy,"Genres: Comedy, Romance, Youth","Original Network: GMM 25, WeTV",54840
"Work Later, Drink Now","Genres: Comedy, Life, Drama",Original Network: TVING,17085
See You in My 19th Life,"Genres: Comedy, Romance, Drama, Fantasy","Original Network: Netflix, TVING, tvN",47785
Angel's Last Mission: Love,"Genres: Comedy, Romance, Drama, Fantasy",Original Network: KBS2,81708
Skate Into Love,"Genres: Comedy, Romance, Youth, Sports","Original Network: LINE TV, Youku",31521
Sweet Teeth,"Genres: Comedy, Romance, Drama, Medical",Original Network: iQiyi,19545
